,Dutch (nl),Positive,Negative
216,adolescentie,0,0
217,puber,0,0
218,adopteren,0,0
219,adoptie,0,0
220,aanbiddelijk,1,0
221,aanbidding,1,0
222,dol zijn op,1,0
223,sieren,0,0
224,versiering,0,0
225,drijvend,0,1
226,volwassen,0,0
227,vervalste,0,1
228,overspel,0,1
229,van te voren,1,0
230,gevorderd,1,0
231,vordering,1,0
232,oprukkende,0,0
233,voordeel,1,0
234,voordelig,1,0
235,komst,1,0
236,avontuur,1,0
237,avonturier,0,0
238,avontuurlijk,1,0
239,tegenstander,0,1
240,nadelige,0,1
241,tegenslag,0,1
242,adverteren,0,0
243,advertentie,0,0
244,advies,0,0
245,raadzaam,1,0
246,adviseren,1,0
247,adviseerde,0,0
248,advisement,0,0
249,raadgever,1,0
250,voorspraak,1,0
251,pleiten voor,0,0
252,aegis,0,0
253,beluchting,0,0
254,antenne,0,0
255,vliegterrein,0,0
256,aërodynamica,0,0
257,luchtvaart,0,0
258,vliegtuig,0,0
259,aesthetisch,1,0
260,schoonheidsleer,1,0
261,NO TRANSLATION,0,0
262,in de verte,0,0
263,minzaam,1,0
264,affaire,0,0
265,invloed,0,0
266,genegenheid,1,0
267,affecties,0,0
268,NO TRANSLATION,0,0
269,beëdigde verklaring,0,0
270,aangesloten,1,0
271,aansluiting,0,0
272,affiniteit,0,0
273,bevestigen,1,0
274,bevestiging,1,0
275,bevestigend,1,0
276,bevestigend,1,0
277,affix,0,0
278,teisteren,0,1
279,geteisterd,0,1
280,bezoeking,0,1
281,rijkdom,1,0
282,zijrivier,1,0
283,veroorloven,1,0
284,belediging,0,1
285,weg,0,0
286,afore,0,0
287,voornoemd,0,0
288,voornoemd,0,0
289,bang,0,1
290,opnieuw,0,0
291,achteruit,0,0
292,nasleep,0,1
293,middag,0,0
294,nasmaak,0,1
295,nadere overweging,0,0
296,NO TRANSLATION,1,0
297,agaat,0,0
298,leeftijd,0,0
299,oud,0,0
300,agentschap,0,0
301,agent,0,0
302,opeenhoping,0,0
303,verergerd,0,1
304,verzwarend,0,1
305,verergering,0,1
306,aggregaat,0,0
307,aggregatie,0,0
308,agressie,0,1
309,agressief,0,1
310,agressor,0,1
311,ontzet,0,1
312,behendig,1,0
313,behendigheid,1,0
314,opgewonden,0,1
315,agitatie,0,1
316,agnostisch,0,0
317,geleden,0,0
318,pijnlijke,0,1
319,doodsangst,0,1
320,mee eens,1,0
321,aangenaam,1,0
322,Akkoord,1,0
323,akkoord,1,0
324,overeenkomst,1,0
325,agrarisch,0,0
326,landbouw,1,0
327,aan de grond,0,1
328,NO TRANSLATION,0,0
329,verder,1,0
330,steun,1,0
331,helpen,1,0
332,ail,0,1
333,ziekelijk,0,1
334,kwaal,0,0
335,doel,0,0
336,doelloos,0,1
337,lucht,0,0
338,airbag,0,0
339,luchtbrug,0,0
340,vliegmaatschappij,0,0
341,vlieger,0,0
342,vliegtuig,0,0
343,luchthaven,0,0
344,airs,0,1
345,luchtschip,0,0
346,gangpad,0,0
347,NO TRANSLATION,0,0
348,NO TRANSLATION,0,0
349,verwant,0,0
350,albast,1,0
351,alarm,0,1
352,zorgwekkend,0,1
353,NO TRANSLATION,0,0
354,album,0,0
355,alchimie,0,0
356,alcohol,0,0
357,alcoholisme,0,1
358,prieel,0,0
359,alarm,0,0
360,waakzaamheid,1,0
361,waarschuwingen,0,0
362,luzerne,0,0
363,algebra,0,0
364,algebraïsch,0,0
365,algoritme,0,0
366,alibi,0,0
367,vreemdeling,0,1
368,vervreemden,0,1
369,vervreemd,0,1
370,vervreemding,0,1
371,uitstappen,0,0
372,uitgelijnd,0,0
373,opstelling,0,0
374,gelijk,0,0
375,NO TRANSLATION,1,0
376,alimentatie,0,1
377,evenmatig,0,0
378,levend,1,0
379,alkali,0,0
380,alkaloïden,0,0
381,verminderen,1,0
382,bewering,0,1
383,beweren,0,1
384,beweerde,0,0
385,trouw,1,0
386,allegorisch,0,0
387,allegorie,0,0
388,allegro,1,0
389,verlichten,1,0
390,verlichting,1,0
391,steeg,0,0
392,bondgenootschap,0,0
393,geallieerd,1,0
394,alligator,0,0
395,toewijzen,0,0
396,toewijzing,0,0
397,verloten,0,0
398,toewijzing,0,0
399,toelaatbaar,1,0
400,toelage,0,0
401,toegestaan,0,0
402,legering,0,0
403,verleiden,1,0
404,verleidelijk,1,0
405,zinspeling,0,0
406,alluviaal,0,0
407,bondgenoot,1,0
408,almanak,0,0
409,almachtig,1,0
410,omhoog,0,0
411,aloha,1,0
412,naast,0,0
413,afzijdig,0,1
414,hardop,0,0
415,alfabet,0,0
416,alfabetisch,0,0
417,altaar,0,0
418,wijzigen,0,0
419,wijziging,0,0
420,woordenwisseling,0,1
421,gewijzigd,0,0
422,afwisselend,0,0
423,alternatief,0,0
424,hoogte,0,0
425,alt,0,0
426,allemaal samen,0,0
427,oud-leerling,0,0
428,alveolaar,0,0
429,amalgaam,0,0
430,vermenging,0,0
431,stapelen,0,0
432,amateur,0,0
433,verbazen,0,0
434,verbazing,0,0
435,verbazend,1,0
436,ambassadeur,1,0
437,amber,0,0
438,omringend,0,0
439,dubbelzinnigheid,0,0
440,dubbelzinnig,0,1
441,omvang,0,0
442,ambitie,1,0
443,ambitieus,0,0
444,ambulance,0,0
445,hinderlaag,0,1
446,verbeteren,1,0
447,amen,1,0
448,vatbaar,1,0
449,wijzigen,1,0
450,amendement,0,0
451,compensatie,1,0
452,faciliteiten,1,0
453,amethist,0,0
454,beminnelijk,1,0
455,minnelijk,1,0
456,midden,0,0
457,midden,0,0
458,ammonia,0,0
459,munitie,0,0
460,geheugenverlies,0,1
461,amnestie,1,0
462,amorfe,0,0
463,afschrijvingen,0,0
464,bedrag,0,0
465,NO TRANSLATION,1,0
466,ampersand,0,0
467,amfetaminen,0,1
468,amfibie,0,0
469,amfibisch,0,0
470,amfitheater,0,0
471,versterking,0,0
472,versterken,0,0
473,amplitude,0,0
474,NO TRANSLATION,0,0
475,amputatie,0,0
476,amulet,0,0
477,amuseren,1,0
478,geamuseerd,1,0
479,amusement,1,0
480,amusant,1,0
481,NO TRANSLATION,0,0
482,anaconda,0,1
483,anesthesie,0,0
484,verdovingsmiddel,0,0
485,anaal,0,1
486,pijnstillend,0,0
487,analoog,0,0
488,analoog,0,0
489,analogie,0,0
490,analyse,0,0
491,analyst,1,0
492,analytisch,0,0
493,analyseren,0,0
494,analyzer,0,0
495,anarchisme,0,1
496,anarchist,0,1
497,anarchie,0,1
498,anastomose,0,0
499,anathema,0,1
500,anatomisch,0,0
501,anatomie,0,0
502,Voorvader,0,0
503,voorouderlijke,0,0
504,voorgeslacht,0,0
505,anker,1,0
506,ankerplaats,1,0
507,oude,0,1
508,ondergeschikt,0,0
509,androgeen,0,0
510,anemoon,0,0
511,opnieuw,0,0
512,engel,1,0
513,engelachtig,1,0
514,boosheid,0,1
515,angina,0,1
516,angiografie,0,0
517,hoek,0,0
518,hengelen,0,1
519,boos,0,1
520,angst,0,1
521,hoekig,0,0
522,watervrij,0,0
523,dier,0,0
524,bezielen,1,0
525,geanimeerde,1,0
526,animatie,0,0
527,vijandigheid,0,1
528,animositeit,0,1
529,enkel,0,0
530,annalen,0,0
531,bijlage,0,0
532,annexatie,0,0
533,NO TRANSLATION,0,0
534,vernietigen,0,1
535,vernietigd,0,1
536,vernietiging,0,1
537,annoteren,0,0
538,aantekening,0,0
539,aankondigen,0,0
540,Aankondiging,0,0
541,ergeren,0,1
542,ergernis,0,1
543,vervelend,0,1
544,lijfrente,0,0
545,vernietigen,0,1
546,ringvormig,0,0
547,vernietiging,0,1
548,annulus,0,0
549,zalving,0,0
550,abnormaal,0,0
551,afwijking,0,1
552,aanstonds,0,0
553,anoniem,0,1
554,antwoord,0,0
555,aansprakelijk,0,0
556,antwoordapparaat,0,0
557,mier,0,0
558,antagonisme,0,1
559,antagonist,0,1
560,vijandig,0,1
561,NO TRANSLATION,0,0
562,antecedent,0,0
563,antilope,0,0
564,antenne,0,0
565,voorste,0,0
566,hymne,0,0
567,bloemlezing,0,0
568,miltvuur,0,1
569,antropologie,0,0
570,antibioticum,0,0
571,antibiotica,1,0
572,antichrist,0,1
573,verwachting,0,0
574,vooruitlopend,0,0
575,tegengif,1,0
576,antifungale,1,0
577,antimonium,0,0
578,antipathie,0,1
579,antiquair,0,0
580,verouderd,0,1
581,antiek,1,0
582,oudheid,0,0
583,antiseptisch,1,0
584,antisociaal,0,1
585,tegenstelling,0,1
586,tegengesteld,0,0
587,antivirale,0,0
588,gewei,0,0
589,aambeeld,0,0
590,angst,0,1
591,angstig,0,1
592,aorta,0,0
593,snel,0,0
594,apache,0,1
595,appartement,0,0
596,apathisch,0,1
597,apathie,0,1
598,aap,0,0
599,opening,0,0
600,top,0,0
601,bladluis,0,1
602,een stuk,0,0
603,aplomb,1,0
604,apocalyptische,0,0
605,verontschuldigend,1,0
606,apologeet,0,0
607,verontschuldigen,1,0
608,verontschuldiging,1,0
609,afvalligheid,0,0
610,afvallige,0,0
611,apostel,1,0
612,apostolisch,0,0
613,apostrof,0,0
614,verschrikkelijk,0,1
615,inrichting,0,0
616,kleding,0,0
617,blijkbaar,0,0
618,verschijning,0,0
619,in beroep gaan,0,0
620,uiterlijk,0,0
621,sussen,0,0
622,appellant,0,0
623,toevoegen,0,0
624,aanhangsel,0,0
625,appendicitis,0,1
626,bijlage,0,0
627,eetlust,0,0
628,voorgerechten,0,0
629,applaus,1,0
630,appel,0,0
631,toestel,0,0
632,huishoudelijke apparaten,0,0
633,toepasselijkheid,0,0
634,van toepassing,0,0
635,aanvrager,0,0
636,toepassing,0,0
637,van toepassing zijn,0,0
638,aanstellen,0,0
639,afspraak,0,0
640,benoemingen,0,0
641,toewijzen,0,0
642,verdeling,0,0
643,taxeren,0,0
644,merkbaar,0,0
645,waardering,1,0
646,begrijpen,0,0
647,vrees,0,1
648,beducht,0,1
649,leerling,0,0
650,leertijd,0,0
651,nadering,0,0
652,naderen,0,0
653,goedkeuring,1,0
654,toeëigening,0,1
655,goedkeuring,1,0
656,goedkeuren,1,0
657,goedkeuren,1,0
658,benaderend,0,0
659,ongeveer,0,0
660,benaderende,0,0
661,benadering,0,0
662,aanhorigheden,0,0
663,schort,0,0
664,geneigd,1,0
665,aanleg,1,0
666,aqua,0,0
667,aquamarijn,0,0
668,aquarium,0,0
669,aquatisch,0,0
670,waterleiding,0,0
671,waterig,0,0
672,bebouwbaar,0,0
673,arbiter,0,0
674,beslechten,0,0
675,arbitrage,0,0
676,arbiter,0,0
677,prieel,0,0
678,boog,0,0
679,zuilengang,0,0
680,boog,0,0
681,archeologisch,0,0
682,archeoloog,0,0
683,oudheidkunde,1,0
684,verouderd,0,1
685,aartsbisschop,0,0
686,gewelfd,0,0
687,boogschutter,0,0
688,boogschieten,0,0
689,archetype,0,0
690,archipel,0,0
691,architect,0,0
692,architectuur,0,0
693,archief,0,0
694,arctisch,0,0
695,vurig,1,0
696,ijver,1,0
697,zwaar,0,1
698,Gebied,0,0
699,arena,0,0
700,tepelhof,0,0
701,NO TRANSLATION,0,0
702,argumenteren,0,1
703,argument,0,1
704,redenering,0,0
705,betogend,0,1
706,argumenten,0,0
707,dor,0,1
708,aristocratie,1,0
709,aristocraat,0,0
710,aristocratisch,1,0
711,rekenkundig,0,0
712,ark,0,0
713,arm,0,0
714,vloot,0,0
715,bewapening,0,0
716,bewapening,0,1
717,bewapening,0,0
718,gewapend,1,1
719,schild,1,0
720,gepantserd,0,0
721,arsenaal,0,0
722,armen,0,0
723,leger,0,0
724,aroma,1,0
725,opwinding,0,0
726,wekken,1,0
727,aanklacht,0,1
728,regelen,0,0
729,geregeld,0,0
730,arrangement,0,0
731,rangschikking,1,0
732,achterstand,0,1
733,arresteren,0,1
734,aankomst,0,0
735,aankomen,0,0
736,arrogantie,0,1
737,arrogant,0,1
738,pijl,0,0
739,arsenaal,0,0
740,arseen-,0,1
741,brandstichting,0,1
742,kunst,1,0
743,slagader,0,0
744,listig,0,0
745,geleedpotige,0,0
746,artisjok,0,0
747,artikel,0,0
748,artikelen,0,0
749,articuleren,1,0
750,articulatie,1,0
751,kunstgreep,0,0
752,artillerie,0,1
753,ambachtsman,1,0
754,artiest,0,0
755,NO TRANSLATION,1,0
756,artistiek,1,0
757,kunstenaars,0,0
758,opstijgen,0,0
759,overwicht,1,0
760,hemelvaart,0,0
761,beklimming,1,0
762,vaststellen,0,0
763,vastgesteld,0,0
764,asceet,0,0
765,as,0,1
766,beschaamd,0,1
767,as,0,1
768,in slaap,0,0
769,adder,0,0
770,aspartaam,0,0
771,aspect,0,0
772,aspecten,0,0
773,asfalt,0,0
774,aspiratie,1,0
775,streven,1,0
776,eerzuchtig,1,0
777,ezel,0,1
778,aanranden,0,1
779,aanvaller,0,1
780,moordenaar,0,1
781,vermoorden,0,1
782,moord,0,1
783,aanval,0,1
784,analyse,0,0
785,verzameling,0,0
786,monteren,0,0
787,geassembleerd,0,0
788,bijeenkomst,1,0
789,instemming,1,0
790,beweren,0,0
791,beweren,1,0
792,bewering,0,0
793,schatten,0,0
794,beoordeling,0,0
795,assessor,0,0
796,middelen,1,0
797,lul,0,1
798,toewijzen,0,0
799,cessionaris,0,0
800,toewijzing,0,0
801,assimileren,0,0
802,assimilatie,0,0
803,helpen,1,0
804,bijstand,1,0
805,assistent,0,0
806,associëren,1,0
807,vereniging,0,0
808,geassorteerd,0,0
809,assortiment,0,0
810,lenigen,1,0
811,uitgegaan van,0,0
812,ervan uitgaand,0,0
813,veronderstelling,0,0
814,zekerheid,1,0
815,verzekeren,0,0
816,verzekerd,1,0
817,zeker,0,0
818,asterisk,0,0
819,asteroïden,0,0
820,astigmatisme,0,0
821,NO TRANSLATION,1,0
822,verbazing,1,0
823,astraal,0,0
824,op een dwaalspoor,0,1
825,samentrekkend,0,1
826,astroloog,1,0
827,astrologie,0,0
828,astronaut,1,0
829,astronoom,1,0
830,astronomie,0,0
831,geslepen,1,0
832,in stukken,0,0
833,asiel,0,1
834,asymmetrisch,0,0
835,asymmetrie,0,0
836,asymptotische,0,0
837,atelier,0,0
838,atheïsme,0,1
839,atheïst,0,0
840,atheïstische,0,0
841,atherosclerose,0,1
842,atleet,1,0
843,atletisch,1,0
844,atletisch,0,0
845,atletiek,0,0
846,atlas,0,0
847,atmosfeer,0,0
848,atmosferisch,0,0
849,atol,0,0
850,atoom,1,0
851,atomair,0,0
852,verzoenen,1,0
853,verzoening,1,0
854,atrium,0,0
855,afgrijselijk,0,1
856,gruweldaad,0,1
857,atrofie,0,1
858,hechten,0,0
859,gehechtheid,1,0
860,aanval,0,1
861,aanvallende,0,1
862,bereiken,0,0
863,bereikbaar,1,0
864,bereiking,1,0
865,poging,0,0
866,opkomst,0,0
867,begeleider,1,0
868,aandacht,1,0
869,attent,1,0
870,verzwakken,0,0
871,verzwakt,0,1
872,verzwakking,0,1
873,getuigen,1,0
874,getuigenis,0,0
875,vliering,0,0
876,kleding,0,0
877,houding,0,0
878,advocaat,1,0
879,aantrekkelijkheid,1,0
880,aantrekkelijkheid,1,0
881,toe te schrijven,0,0
882,attribuut,0,0
883,attributie,0,0
884,wrijving,0,0
885,kastanjebruin,0,0
886,veiling,0,0
887,veilingmeester,0,0
888,vermetel,0,0
889,vermetelheid,0,1
890,hoorbaar,0,0
891,publiek,0,0
892,audit,0,0
893,auditie,0,0
894,revisor,0,0
895,gehoorzaal,0,0
896,gehoor-,0,0
897,iets,0,0
898,vergroten,1,0
899,vermeerdering,0,0
900,augustus,1,0
901,tante,1,0
902,aura,1,0
903,Aurora,0,0
904,auspiciën,0,0
905,gunstig,1,0
906,sober,0,1
907,strengheid,0,1
908,authentiek,1,0
909,waarmerken,0,0
910,authenticatie,0,0
911,echtheid,1,0
912,auteur,1,0
913,gezaghebbend,1,0
914,autoriteit,1,0
915,machtiging,1,0
916,toestemming geven,0,0
917,gemachtigde,1,0
918,auteurschap,0,0
919,auto,0,0
920,autobiografie,0,0
921,autocratisch,0,1
922,handtekening,0,0
923,automatisch,0,0
924,auto-,0,0
925,autonomie,0,0
926,lijkschouwing,0,1
927,herfst,0,0
928,hulp-,0,0
929,baten,0,0
930,lawine,0,1
931,gierigheid,0,1
932,avatar,1,0
933,wreker,0,1
934,Laan,0,0
935,NO TRANSLATION,0,0
936,gemiddelde,0,0
937,afkerig,0,1
938,afkeer,0,1
939,voorkomen,0,0
940,volière,0,0
941,luchtvaart,0,0
942,vliegenier,0,0
943,begerig,0,0
944,avocado,0,0
945,vermijden,0,1
946,vermijding,0,1
947,vermijden,0,0
948,wachten,0,0
949,wakker,0,0
950,ontwaken,0,0
951,onderscheiding,1,0
952,NO TRANSLATION,0,0
953,afschuwelijk,0,1
954,onhandigheid,0,1
955,zonnetent,0,0
956,scheef,0,1
957,axiaal,0,0
958,axioma,0,0
959,axiomatisch,0,0
960,as,0,0
961,as,0,0
962,ja,1,0
963,aye,1,0
964,azimuth,0,0
965,azuur,0,0
966,gebabbel,0,1
967,kabbelende,0,1
968,baviaan,0,1
969,baby,1,0
970,oppas,0,0
971,baccalaureaat,1,0
972,baccarat,0,0
973,bachelor opleiding,0,0
974,terug,0,0
975,ruggegraat,1,0
976,voorstander,0,0
977,terugslaan,0,0
978,backgammon,0,0
979,achtergrond,0,0
980,backhoe,0,0
981,backpacker,0,0
982,breken met,0,0
983,achterwaarts,0,1
984,achteruit,0,1
985,opstuwing,0,1
986,bacterie,0,1
987,NO TRANSLATION,0,1
988,slecht,0,1
989,insigne,0,0
990,das,0,1
991,slecht,0,1
992,slechtheid,0,1
993,scherm,0,0
994,zak,0,0
995,bagage,0,0
996,zakkerig,0,0
997,doedelzakken,0,0
998,borgtocht,0,0
999,deurwaarder,0,1
1000,aas,0,1
1001,bakken,0,0
1002,bakkerij,0,0
1003,bakken,0,0
1004,NO TRANSLATION,0,0
1005,balans,1,0
1006,evenwichtige,1,0
1007,balkon,0,0
1008,kaal,0,0
1009,baal,0,1
1010,balk,0,1
1011,bal,0,0
1012,ballade,1,0
1013,ballast,0,0
1014,ballet,1,0
1015,ballon,0,0
1016,stemming,1,0
1017,danszaal,0,0
1018,balsem,1,1
1019,zoel,0,0
1020,balsem,1,0
1021,balsamico,0,0
1022,NO TRANSLATION,0,1
1023,banaan,0,0
1024,band,0,0
1025,verband,0,0
1026,bandiet,0,1
1027,vrachtwagen met orkest,0,0
1028,verderf,0,1
1029,knal,0,1
1030,worstje,0,1
1031,verbannen,0,1
1032,verbannen,0,1
1033,verbanning,0,1
1034,banjo,0,0
1035,bank,0,0
1036,bankier,0,0
1037,bankroet,0,1
1038,faillissement,0,1
1039,banier,0,0
1040,banket,1,0
1041,banshee,0,1
1042,scherts,0,0
1043,doop,1,0
1044,doop,1,0
1045,bar,0,0
1046,weerhaak,0,1
1047,barbaar,0,1
1048,barbaars,0,1
1049,barbaarsheid,0,1
1050,barbecue,0,0
1051,prikkeldraad,0,0
1052,bard,1,0
1053,zonder zadel,0,0
1054,blootsvoets,0,0
1055,nauwelijks,0,0
1056,barf,0,0
1057,koopje,1,0
1058,aak,0,0
1059,bariton,0,0
1060,schors,0,1
1061,schuur,0,0
1062,barney,0,0
1063,barometer,0,0
1064,baron,0,0
1065,barok-,0,0
1066,barak,0,0
1067,verjaard,0,1
1068,vat,0,0
1069,dor,0,1
1070,barricade,0,1
1071,barrière,0,1
1072,behoudens,0,0
1073,advocaat,0,0
1074,grafheuvel,0,0
1075,barman,0,0
1076,ruilhandel,0,0
1077,baseren,0,0
1078,basketbal,0,0
1079,plint,0,0
1080,ongegrond,0,1
1081,kelder,0,0
1082,basiliek,0,0
1083,bekken,0,0
1084,basis,0,0
1085,zich koesteren,0,0
1086,mand,0,0
1087,basketbal,1,0
1088,bas,0,0
1089,NO TRANSLATION,0,0
1090,fagot,0,0
1091,bastaard-,0,1
1092,bastion,1,0
1093,knuppel,0,0
1094,partij,0,0
1095,groeperen,0,0
1096,NO TRANSLATION,0,0
1097,bad,1,0
1098,baden,0,0
1099,badkamer,0,0
1100,meting van diepte,0,0
1101,wapenstok,0,0
1102,bataljon,0,0
1103,beslag,0,1
1104,gehavend,0,1
1105,accu,0,1
1106,strijd,0,1
1107,vochten,0,1
1108,slagveld,0,1
1109,liederlijk,0,1
1110,NO TRANSLATION,0,0
1111,bajonet,0,1
1112,moerassige rivierarm,0,0
1113,bazaar,0,0
1114,strand,0,0
1115,baken,0,0
1116,kraal,0,0
1117,kralen,0,0
1118,kralen,0,0
1119,brak,0,0
1120,bek,0,0
1121,beker,0,0
1122,balk,1,0
1123,stralend,1,0
1124,beer,0,0
1125,baard,0,0
1126,bebaarde,0,0
1127,toonder,0,1
1128,lager,0,0
1129,lagers,0,0
1130,nors,0,0
1131,beest,0,1
1132,beestachtig,0,1
1133,overtreffen,0,0
1134,pak slaag,0,1
1135,galant,0,0
1136,verfraaiing,1,0
1137,mooi,1,0
1138,mooi maken,1,0
1139,schoonheid,1,0
1140,wenk,0,0
1141,wenken,0,0
1142,bed,0,0
1143,beddegoed,0,0
1144,grondslag,1,0
1145,slaapkamer,0,0
1146,bedtijd,0,0
1147,bij,0,0
1148,rundvlees,0,0
1149,bijenkorf,0,0
1150,bier,1,0
1151,bijenwas,0,0
1152,kever,0,0
1153,overkomen,0,1
1154,passend,1,0
1155,betonen,1,0
1156,bedelen,0,1
1157,bedelaar,0,1
1158,bedelarij,0,1
1159,beginnen,0,0
1160,beginner,0,0
1161,begin,0,0
1162,begonnen,0,0
1163,gedrag,0,0
1164,nijlpaard,0,1
1165,opdracht,0,0
1166,aanschouwen,0,0
1167,verplicht,0,1
1168,aanschouwer,0,0
1169,verlate,0,1
1170,vastsjorren,0,0
1171,geloof,0,0
1172,geloofde,0,0
1173,gelovige,0,0
1174,geloven,1,0
1175,kleineren,0,1
1176,klok,0,0
1177,strijdlustig,0,1
1178,blaten,0,0
1179,blaasbalg,0,0
1180,buik,0,0
1181,toebehoren,0,0
1182,riem,0,1
1183,onrustig,0,0
1184,bank,0,0
1185,bocht,0,0
1186,nijptang,0,1
1187,verbuiging,0,0
1188,onder,0,0
1189,weldoener,1,0
1190,gunstig,1,0
1191,begunstigde,0,0
1192,voordeel,1,0
1193,welwillendheid,1,0
1194,goedaardig,1,0
1195,krom,0,0
1196,benzine,0,0
1197,nalaten,0,0
1198,legaat,0,0
1199,diep bedroefd,0,1
1200,sterfgeval,0,1
1201,beroofd,0,1
1202,bergamot,0,0
1203,berlijn,0,0
1204,gek,0,1
1205,ligplaats,1,0
1206,smeken,0,0
1207,bestoken,0,0
1208,beestachtig,0,1
1209,schenken,0,0
1210,inzet,0,0
1211,verraden,0,1
1212,verraad,0,1
1213,verloofd,1,0
